"",ticker,n_eventos,mae_beta,mae_pdr,mse_beta,mse_pdr,rmse_beta,rmse_pdr,melhor_modelo
0,A,44,0.419515,0.413388,0.319685,0.303077,0.565407,0.550525,pdr
1,AAP,44,0.631752,0.647670,0.757663,0.807877,0.870439,0.898820,beta_div
2,AAPL,45,0.666414,0.532628,0.861377,0.763807,0.928104,0.873960,pdr
3,AAT,45,0.257301,0.158671,0.093342,0.046693,0.305520,0.216086,pdr
4,ABBV,45,0.697576,0.506483,0.721901,0.497280,0.849648,0.705181,pdr
5,ABCB,43,0.201659,0.184884,0.068930,0.063886,0.262545,0.252758,pdr
6,ABM,44,0.214541,0.207492,0.078163,0.077037,0.279577,0.277555,pdr
7,ABR,45,0.095336,0.077120,0.013199,0.009697,0.114888,0.098472,pdr
8,ACP,134,0.039794,0.039566,0.003138,0.003105,0.056018,0.055722,pdr
9,ACRE,43,0.055608,0.051705,0.005601,0.004864,0.074842,0.069739,pdr
10,ADC,78,0.289959,0.274766,0.208542,0.200059,0.456664,0.447279,pdr
11,ADI,45,1.226029,0.908606,2.468210,2.054676,1.571054,1.433414,pdr
12,ADM,45,0.210523,0.210526,0.082271,0.082254,0.286829,0.286799,pdr
13,ADP,44,0.910538,0.828637,2.889821,2.883729,1.699947,1.698155,pdr
14,ADX,45,0.168288,0.739650,0.208051,1.873665,0.456126,1.368819,beta_div
15,AEM,43,0.447772,0.456291,0.354436,0.368305,0.595345,0.606881,beta_div
16,AEP,45,0.488449,0.264266,0.329162,0.161936,0.573726,0.402413,pdr
17,AES,45,0.097599,0.091215,0.020501,0.019173,0.143180,0.138467,pdr
18,AFG,67,0.526143,0.586472,0.514311,0.869362,0.717155,0.932396,beta_div
19,AGCO,49,0.614562,0.677185,0.635882,0.806752,0.797422,0.898194,beta_div
20,AGM,44,0.626865,0.632078,1.297671,1.304360,1.139153,1.142086,beta_div
21,AGNC,129,0.055312,0.054463,0.006869,0.006813,0.082881,0.082538,pdr
22,AGO,41,0.273236,0.271608,0.125795,0.125775,0.354676,0.354647,pdr
23,AHH,43,0.181271,0.065579,0.036708,0.010111,0.191594,0.100556,pdr
24,AIG,44,0.380150,0.379165,0.360973,0.360995,0.600810,0.600829,beta_div
25,AIN,44,0.880348,0.385497,0.958450,0.363540,0.979005,0.602943,pdr
26,AIT,45,1.470384,0.843667,3.591950,1.892308,1.895244,1.375612,pdr
27,AIZ,45,0.815822,0.522578,1.178529,0.887133,1.085601,0.941877,pdr
28,AJG,44,0.715876,0.436324,0.702922,0.412552,0.838404,0.642302,pdr
29,AKR,41,0.081446,0.081554,0.012288,0.012287,0.110851,0.110847,pdr
30,AL,44,0.257944,0.253141,0.132987,0.131476,0.364674,0.362596,pdr
31,ALB,44,2.993539,1.382536,11.254004,4.377211,3.354699,2.092178,pdr
32,ALCO,44,0.161679,0.159746,0.048743,0.049574,0.220778,0.222653,beta_div
33,ALE,45,1.038093,0.267127,1.207418,0.153665,1.098826,0.392001,pdr
34,ALG,45,0.722116,0.712780,1.089246,1.072611,1.043670,1.035669,pdr
35,ALL,44,0.386143,0.379849,0.417382,0.416051,0.646051,0.645020,pdr
36,ALLE,42,0.839929,0.878787,3.959962,3.948067,1.989965,1.986974,pdr
37,ALSN,45,0.514789,0.266975,0.377778,0.145356,0.614637,0.381256,pdr
38,ALX,45,6.479744,2.132041,49.243672,8.074351,7.017384,2.841540,pdr
39,AMAT,45,0.593597,0.593462,0.869998,0.855715,0.932737,0.925049,pdr
40,AME,44,0.719370,0.743155,1.753869,1.743904,1.324337,1.320570,pdr
41,AMGN,45,0.854791,0.859666,1.332459,1.325795,1.154322,1.151432,pdr
42,AMH,44,0.159909,0.156251,0.113635,0.114732,0.337098,0.338722,beta_div
43,AMP,45,1.376590,1.333436,4.209221,4.038780,2.051639,2.009672,pdr
44,AMSF,47,0.406873,0.419976,0.615085,0.679888,0.784274,0.824553,beta_div
45,AMT,44,1.144725,0.758167,1.831488,1.538305,1.353325,1.240284,pdr
46,ANDE,44,0.696029,0.176078,0.542918,0.066531,0.736830,0.257935,pdr
47,AOD,135,0.024132,0.023936,0.001191,0.001189,0.034516,0.034487,pdr
48,AON,45,1.229788,1.069078,2.796846,2.549727,1.672377,1.596786,pdr
49,AOS,45,0.734012,0.685870,1.155662,1.117120,1.075017,1.056939,pdr
50,APA,45,0.337596,0.357838,0.210413,0.206816,0.458708,0.454770,pdr
51,APAM,45,0.172158,0.172544,0.053621,0.052574,0.231563,0.229290,pdr
52,APD,44,0.862011,0.859535,1.419271,1.418781,1.191332,1.191126,pdr
53,APH,44,0.227844,0.219366,0.190715,0.179701,0.436709,0.423912,pdr
54,APO,45,0.333572,0.331534,0.234918,0.233337,0.484684,0.483050,pdr
55,APOG,45,0.200729,0.203120,0.076383,0.076089,0.276375,0.275843,pdr
56,ARCB,45,0.553533,0.544697,0.736508,0.715391,0.858200,0.845808,pdr
57,ARCC,44,0.264719,0.119914,0.084572,0.044309,0.290812,0.210497,pdr
58,ARDC,135,0.128250,0.044292,0.020405,0.004032,0.142846,0.063496,pdr
59,ARE,44,0.649450,0.515397,0.634175,0.476678,0.796351,0.690419,pdr
60,ARI,44,0.089165,0.052990,0.012470,0.006164,0.111671,0.078510,pdr
61,ARLP,41,0.191590,0.159034,0.090853,0.083344,0.301419,0.288693,pdr
62,ARMK,45,0.216414,0.151245,0.066987,0.049716,0.258819,0.222972,pdr
63,AROC,45,0.140485,0.138032,0.052300,0.048099,0.228691,0.219315,pdr
64,AROW,45,0.243383,0.154208,0.079281,0.043054,0.281569,0.207495,pdr
65,ARR,132,0.363646,0.371905,0.432315,0.430829,0.657507,0.656376,pdr
66,ARTNA,45,0.199737,0.183491,0.087835,0.071243,0.296369,0.266913,pdr
67,ASB,45,0.151160,0.132547,0.040753,0.037734,0.201874,0.194253,pdr
68,ASG,45,0.032561,0.032218,0.002197,0.002163,0.046871,0.046504,pdr
69,ASH,45,0.416098,0.384250,0.583539,0.570207,0.763897,0.755121,pdr
70,ASTE,45,1.118359,0.348706,1.430191,0.249983,1.195906,0.499983,pdr
71,ATLO,45,0.318149,0.137135,0.125622,0.030360,0.354432,0.174243,pdr
72,ATNI,44,0.391126,0.251684,0.261137,0.148250,0.511015,0.385033,pdr
73,ATO,45,0.281841,0.282090,0.170602,0.170406,0.413041,0.412802,pdr
74,ATR,45,0.365923,0.367430,0.243419,0.242630,0.493375,0.492574,pdr
